label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
A,-0.000000,0.000000,0.248301,0.218637,0.342329,0.526624,0.346641,0.786245,0.259975,0.965615,0.177584,0.684018,0.169289,0.860049,0.203203,0.650510,0.228064,0.484368,0.000000,0.635260,0.027951,0.788251,0.087755,0.531118,0.114625,0.341167,-0.168389,0.566061,-0.110975,0.646228,-0.044386,0.403517,-0.022120,0.246877,-0.343006,0.498767,-0.251133,0.550851,-0.196848,0.381237,-0.170200,0.269198
A,0.009142,-0.031200,0.270815,0.246854,0.283798,0.487558,0.350476,0.776758,0.259471,0.940024,0.203966,0.707352,0.171270,0.893867,0.217229,0.624732,0.239127,0.455602,0.026354,0.633763,0.022405,0.767823,0.124432,0.526482,0.101775,0.330603,-0.152420,0.577024,-0.098593,0.659152,0.019864,0.391324,-0.037487,0.222464,-0.324526,0.532636,-0.254552,0.525647,-0.221583,0.400755,-0.147902,0.285493
A,-0.019965,0.006965,0.251802,0.225198,0.368472,0.533331,0.367008,0.788272,0.268648,0.984554,0.133869,0.674428,0.155178,0.840883,0.194949,0.695359,0.202089,0.513416,-0.050486,0.625214,0.032833,0.805838,0.109092,0.554919,0.104163,0.327297,-0.142650,0.560322,-0.149246,0.612229,-0.071969,0.418432,-0.017847,0.267592,-0.355823,0.503523,-0.232365,0.541571,-0.183145,0.361379,-0.181091,0.257746
A,-0.035875,0.014609,0.234219,0.219012,0.356752,0.540020,0.366603,0.783290,0.247276,0.963224,0.126964,0.640604,0.129608,0.830132,0.215196,0.623346,0.216719,0.523345,-0.010688,0.657386,-0.000058,0.782088,0.059255,0.520947,0.139834,0.289348,-0.155357,0.573193,-0.128800,0.602846,-0.042222,0.387632,-0.015140,0.247533,-0.294952,0.491586,-0.281838,0.556229,-0.190248,0.422013,-0.145146,0.279905
A,-0.000000,0.000000,0.233804,0.181126,0.367884,0.489450,0.383891,0.754584,0.317857,0.948139,0.188526,0.700969,0.220457,0.858479,0.226963,0.634436,0.233361,0.470437,-0.000000,0.676115,0.079388,0.755430,0.125309,0.493406,0.142151,0.320057,-0.171629,0.624216,-0.062421,0.624204,-0.006928,0.378094,0.009167,0.226342,-0.335851,0.561970,-0.198026,0.542350,-0.153830,0.361578,-0.142850,0.253630
A,0.043899,-0.035663,0.214611,0.153328,0.356190,0.448149,0.402946,0.747918,0.273733,0.917671,0.197931,0.726113,0.280359,0.945895,0.239396,0.604750,0.169400,0.478469,-0.024388,0.663654,0.061025,0.751206,0.157288,0.498117,0.137392,0.288987,-0.221870,0.609627,-0.064034,0.677242,-0.003020,0.407576,-0.005812,0.190794,-0.364804,0.540213,-0.134172,0.517708,-0.128675,0.334490,-0.114902,0.265179
A,-0.004699,-0.001223,0.214160,0.194508,0.354235,0.452682,0.345553,0.759762,0.365230,0.952938,0.184967,0.709544,0.259637,0.865061,0.214635,0.667624,0.246224,0.516510,0.005497,0.639381,0.038343,0.804958,0.177019,0.488020,0.130656,0.363900,-0.204841,0.597374,-0.043121,0.612365,-0.007082,0.373191,0.019294,0.268566,-0.333133,0.581288,-0.259531,0.540888,-0.179127,0.325013,-0.169194,0.243606
A,0.027477,-0.039792,0.234723,0.166601,0.358054,0.519533,0.400035,0.794706,0.313222,0.927260,0.181810,0.708244,0.225754,0.825947,0.229678,0.641283,0.308885,0.526743,-0.025597,0.667493,0.035485,0.737709,0.134777,0.529581,0.120279,0.300432,-0.236048,0.619336,-0.094293,0.608320,-0.033234,0.375266,-0.043565,0.182330,-0.271974,0.523347,-0.230930,0.597457,-0.066678,0.326431,-0.153897,0.263877
A,-0.000000,0.000000,0.230606,0.173406,0.341588,0.488709,0.344508,0.748565,0.324698,0.945818,0.186374,0.644031,0.142601,0.829790,0.127112,0.680255,0.143443,0.509981,0.000000,0.608651,-0.031158,0.777537,-0.012030,0.570375,0.022579,0.378755,-0.153658,0.550975,-0.178860,0.653627,-0.135877,0.428882,-0.092076,0.252332,-0.284351,0.470739,-0.295562,0.577860,-0.260184,0.422677,-0.224433,0.293685
A,0.051861,-0.029606,0.223247,0.196726,0.354631,0.477424,0.340493,0.707318,0.317553,0.937826,0.193339,0.627371,0.156747,0.860171,0.131775,0.690808,0.145038,0.509983,-0.021647,0.618146,-0.034077,0.840332,0.035170,0.581951,-0.000313,0.345383,-0.117924,0.558858,-0.164455,0.601289,-0.108054,0.442515,-0.125389,0.238186,-0.276439,0.472313,-0.304328,0.574755,-0.267743,0.427254,-0.180288,0.216685
A,-0.007106,0.005295,0.239486,0.162249,0.288887,0.498549,0.396328,0.702549,0.350613,0.935962,0.184534,0.612444,0.132567,0.868791,0.144592,0.732224,0.178766,0.523153,0.052318,0.621821,-0.006319,0.768640,-0.010034,0.549453,0.052266,0.343406,-0.130187,0.545256,-0.143722,0.676153,-0.081258,0.450806,-0.139237,0.250323,-0.319511,0.455190,-0.250226,0.596986,-0.281152,0.392266,-0.223450,0.257188
A,-0.020134,0.009360,0.265265,0.191669,0.272850,0.497840,0.346669,0.760982,0.373184,0.883921,0.168641,0.661758,0.095153,0.874068,0.138163,0.705652,0.126315,0.534393,0.032054,0.615638,-0.024126,0.785647,-0.037931,0.565950,0.018003,0.390257,-0.123663,0.519219,-0.182610,0.698070,-0.158185,0.404215,-0.086007,0.277663,-0.284008,0.510608,-0.269859,0.603115,-0.243561,0.492507,-0.230588,0.233579
A,-0.000000,0.000000,0.259506,0.215492,0.356130,0.535545,0.307637,0.792095,0.241248,0.970464,0.169377,0.711510,0.159013,0.866522,0.186167,0.680574,0.209506,0.526244,0.000000,0.662831,0.034316,0.779596,0.108651,0.546584,0.141792,0.378806,-0.151321,0.594007,-0.080367,0.680421,-0.000021,0.445981,0.027059,0.287613,-0.294269,0.506737,-0.195343,0.540545,-0.124047,0.383978,-0.095368,0.279020
A,0.048128,-0.013731,0.262742,0.254779,0.308062,0.497995,0.259599,0.768271,0.254437,0.986189,0.177665,0.669127,0.089710,0.868152,0.172013,0.694356,0.230564,0.530391,0.022804,0.669708,0.050218,0.758456,0.103262,0.552487,0.166408,0.366994,-0.135686,0.586032,-0.083893,0.705307,-0.059813,0.407087,-0.017406,0.217604,-0.314617,0.529220,-0.203890,0.546479,-0.091371,0.423808,-0.097442,0.319627
A,0.002764,-0.025122,0.241674,0.171076,0.329486,0.524804,0.331745,0.843718,0.199782,0.982248,0.138160,0.725751,0.155081,0.811594,0.214016,0.662424,0.193489,0.494151,-0.019628,0.675668,0.028639,0.789456,0.119508,0.586204,0.131509,0.334500,-0.119304,0.584063,-0.046929,0.691923,-0.003956,0.456444,0.085590,0.349922,-0.292188,0.511543,-0.163056,0.515175,-0.114055,0.383202,-0.085951,0.254019
A,-0.047687,-0.062190,0.225984,0.201732,0.347334,0.593662,0.340817,0.763232,0.251679,0.958251,0.160846,0.717070,0.177588,0.856344,0.218082,0.646316,0.209696,0.604174,0.006692,0.705828,0.037062,0.797019,0.106947,0.541471,0.118408,0.391715,-0.176867,0.613975,-0.047808,0.691417,-0.008609,0.459600,0.017799,0.315679,-0.349211,0.496669,-0.255068,0.495693,-0.083132,0.410833,-0.116953,0.233945
A,-0.000000,0.000000,0.243985,0.222380,0.325185,0.539904,0.271475,0.797901,0.192509,0.981295,0.157466,0.690000,0.114615,0.859769,0.147726,0.698983,0.180707,0.551067,0.000000,0.636449,-0.000164,0.785114,0.080175,0.557485,0.117803,0.380677,-0.140783,0.562440,-0.105934,0.683441,-0.017125,0.454425,0.014767,0.292921,-0.279862,0.471911,-0.212840,0.534888,-0.135273,0.382858,-0.098782,0.274139
A,-0.088936,-0.016305,0.316598,0.235427,0.308398,0.553856,0.224646,0.788981,0.195494,0.978712,0.181190,0.700340,0.134665,0.839118,0.174661,0.747852,0.151603,0.524436,0.040074,0.630709,0.041951,0.771838,0.123826,0.561430,0.125550,0.427618,-0.151636,0.534206,-0.119391,0.697011,-0.064098,0.473549,-0.001396,0.327355,-0.351690,0.448315,-0.263434,0.510101,-0.127843,0.377481,-0.106384,0.269364
A,0.006102,-0.030256,0.265191,0.242260,0.336736,0.556600,0.280367,0.858953,0.189896,0.972083,0.134860,0.659032,0.077281,0.833105,0.145606,0.709012,0.182242,0.528101,0.027006,0.658632,-0.004954,0.765526,0.096628,0.563124,0.074360,0.378638,-0.132922,0.535449,-0.100238,0.639796,0.022960,0.491864,0.007191,0.303825,-0.352160,0.437221,-0.221653,0.502724,-0.113841,0.442777,-0.134081,0.249015
A,0.007063,0.048333,0.207314,0.229851,0.379824,0.490351,0.233043,0.785192,0.176892,1.005673,0.164716,0.636751,0.130077,0.842443,0.185960,0.680156,0.161609,0.567301,0.022888,0.649892,-0.050732,0.801255,0.049146,0.564543,0.075091,0.394067,-0.164981,0.523961,-0.084519,0.690690,-0.035545,0.497961,0.001547,0.293884,-0.271794,0.453322,-0.198706,0.518884,-0.147622,0.423737,-0.130000,0.201756
A,-0.000000,0.000000,0.251409,0.217049,0.338742,0.535832,0.292666,0.793389,0.222345,0.974968,0.162773,0.695070,0.143458,0.853201,0.172891,0.684147,0.202027,0.531308,0.000000,0.646201,0.022116,0.778182,0.096400,0.553850,0.133507,0.381903,-0.145761,0.577465,-0.089276,0.682472,-0.009329,0.451831,0.018864,0.289767,-0.285937,0.491612,-0.200499,0.538798,-0.130155,0.385452,-0.099898,0.277543
A,0.048328,0.076480,0.239251,0.158944,0.329428,0.527245,0.286968,0.759988,0.239732,0.990703,0.117941,0.716046,0.205039,0.858359,0.162771,0.679887,0.220485,0.479388,0.004932,0.634487,0.077551,0.772956,0.146437,0.520738,0.151125,0.391485,-0.171833,0.582787,-0.052901,0.672759,-0.060087,0.451304,-0.008208,0.279497,-0.288385,0.440442,-0.248969,0.553260,-0.145836,0.308509,-0.076353,0.285714
A,-0.021416,-0.039505,0.276483,0.227530,0.410221,0.548438,0.304297,0.788382,0.246848,0.993721,0.200325,0.679431,0.130396,0.838827,0.196615,0.729099,0.188262,0.518565,0.009422,0.638828,0.050677,0.710628,0.071599,0.530378,0.063897,0.352994,-0.173216,0.571432,-0.055887,0.675121,-0.040253,0.450122,0.050339,0.260488,-0.313255,0.508368,-0.207145,0.558222,-0.130564,0.406501,-0.130951,0.277180
A,-0.006321,-0.036477,0.204505,0.237622,0.328214,0.505164,0.289780,0.827230,0.153923,0.930069,0.135086,0.738906,0.151936,0.876220,0.138686,0.650561,0.215462,0.533056,0.016462,0.640571,0.030460,0.782925,0.119733,0.578061,0.084911,0.314485,-0.115709,0.613096,-0.119895,0.626677,-0.006358,0.479756,0.072792,0.305256,-0.297089,0.464818,-0.200155,0.529820,-0.160607,0.446914,-0.046343,0.311624
A,-0.000000,0.000000,0.253684,0.219893,0.347454,0.534586,0.295178,0.792542,0.227126,0.973865,0.164824,0.701787,0.153765,0.857511,0.179752,0.682475,0.200411,0.521412,-0.000000,0.652204,0.026196,0.778037,0.096868,0.546692,0.128860,0.367251,-0.146403,0.581573,-0.091299,0.683260,-0.009446,0.449378,0.021906,0.282117,-0.287353,0.492727,-0.205577,0.537787,-0.129740,0.378217,-0.093177,0.263819
A,-0.027626,0.025651,0.272873,0.233170,0.384944,0.553647,0.317379,0.811649,0.237350,0.920357,0.167333,0.685102,0.115370,0.907965,0.231621,0.723251,0.208067,0.561931,0.000362,0.658288,-0.006608,0.789946,0.098679,0.507612,0.127324,0.364859,-0.092476,0.608399,-0.090955,0.690724,-0.008120,0.443291,-0.010567,0.277586,-0.309736,0.455218,-0.190241,0.549525,-0.183342,0.374536,-0.063306,0.295596
A,0.030775,0.001167,0.228333,0.187382,0.357792,0.545964,0.333798,0.825541,0.223160,0.936539,0.155251,0.708304,0.147702,0.840174,0.187338,0.667356,0.181569,0.530756,-0.012060,0.659527,0.034392,0.743854,0.082431,0.589825,0.093997,0.303751,-0.202259,0.582446,-0.090371,0.679732,0.026980,0.369193,0.033784,0.328961,-0.321187,0.481333,-0.228164,0.510957,-0.139528,0.421042,-0.038056,0.253741
A,0.057152,0.001067,0.306295,0.217094,0.351386,0.545550,0.390544,0.818081,0.205908,1.002935,0.153969,0.687095,0.181023,0.858443,0.188109,0.682894,0.210508,0.534161,-0.058109,0.672201,-0.003264,0.734768,0.095116,0.549211,0.108055,0.392182,-0.186669,0.569365,-0.108845,0.681862,-0.001080,0.419142,0.043634,0.284007,-0.344112,0.433969,-0.205947,0.531159,-0.132843,0.377378,-0.086411,0.292249
A,-0.000000,0.000000,0.250623,0.226611,0.348619,0.541291,0.302050,0.799006,0.216782,0.976220,0.158552,0.699065,0.140463,0.870776,0.177545,0.699349,0.208381,0.547318,0.000000,0.645820,0.015362,0.802847,0.094924,0.569204,0.132752,0.394366,-0.143348,0.573357,-0.099860,0.699121,-0.014141,0.463769,0.016270,0.300591,-0.286919,0.485162,-0.215012,0.545186,-0.138717,0.390887,-0.104447,0.281358
A,-0.033333,-0.035159,0.217823,0.235279,0.385968,0.528350,0.226999,0.747886,0.191791,0.959488,0.146301,0.700222,0.131110,0.902257,0.157264,0.673479,0.222747,0.501249,0.011691,0.648896,0.010939,0.850495,0.076258,0.631013,0.125989,0.356056,-0.141251,0.541070,-0.122413,0.711032,0.002526,0.445104,0.045892,0.335317,-0.243830,0.501044,-0.174109,0.488762,-0.148254,0.364877,-0.100870,0.264215
